name,type,category,buyCostEnergy,playCostEnergy,playCostWater,playCostPhosphorus,playCostNitrogen,timing,axis,threat,produces,effect,flavor,notes,familyKey,targeting,radius,growthAmount,clears
Companion Planting,engine,energy-engine,13,0,0,0,0,mid,energy,none,+1 to +4 energy/round,"INSTALL. +1 Energy per round, and +1 more per round for each OTHER resource engine (W/P/N) you have installed, capped at +4 total. Rewards a resource-engine build.","A guild of partners, each paying a little into the common purse.","ENERGY engine: hard cap 4/round, counts to <11 ceiling.",energy-engine,,,,
Zombie Ant Vector,event,ant-defense,9,0,0,0,0,flex,route,ant,ant neutralise + path,"GLOBAL, one-shot. Turn an active ant nest against itself: it stops harvesting and its foragers clear a path (removes the impassable trail) for 3 rounds. Unplayable if no ant nest is active.",The fungus steers the colony's corpse to where its spores need to go.,,ant-defense,global,,,
Spore Print Draft,extender,draw,8,0,0,0,0,flex,draw,none,+3 basics,INSTALL. Shuffle 2 Forage Seek and 1 Sensing Bloom basic into your draw deck. Runway tuned to keep a stalled frontier finding food.,"A dark print dropped on the soil, each spore a fresh start.",,extender,,,,
Cellulase Cascade,action,energy-burst,10,0,0,0,0,mid,energy,none,repeatable digest burst,"GLOBAL, cooldown 2. Digest all occupied substrate for +2 Energy per patch (flat), repeatable on cooldown. A metered burst engine, not a one-shot — the reliable mid-game refill.","The enzyme wave you can call up again and again, if you pace it.","Action (cooldown-gated repeatable), not a standing energy engine => exempt from ceiling.",digest,global,,,
Mycorrhizal Handshake,engine,energy-engine,12,0,0,0,0,mid,energy,none,+3 energy/round (fed),INSTALL. +3 Energy per round while at least one tip sits within sensing range of a food pile; +1 otherwise. Rewards keeping the frontier fed.,"Sugar-for-mineral trade, humming only while a partner is in reach.","ENERGY engine: up to 3/round, conditional, counts to <11 ceiling.",energy-engine,,,,
Amadou Tinder,engine,phosphorus,5,0,0,0,0,early,energy,none,+1 energy/round,"INSTALL. +1 Energy per round; consumes 0 resources. The tiniest, cheapest standing trickle — an early pick that never embarrasses you and frees draws for action.","Fomes tinder, catching the smallest spark and holding it.","ENERGY engine: 1/round, counts to <11 ceiling. Cheap early runway.",energy-engine,,,,
Hydnellum Weir,event,water,11,0,3,0,0,mid,route,none,column clear (W route),"DIRECTIONAL, one-shot. Gated by Water. Clear one rock column in a chosen direction by dissolving its base — a Water-gated alternative to the P-gated column dig. Unplayable if no column in range.",Redirecting water to carve the barrier out from under itself.,,dig-ladder,directional,,,column
Sporangial Volley,action,growth-trick,7,0,0,0,0,flex,route,none,repeatable aimed growth,"DIRECTIONAL, cooldown 1. Fire 3 aimed segments in a chosen direction, repeatable — a cheap standing traversal tool for open ground once installed.","A steady patter of spores, each one a new advancing tip.",,grow-engine,directional,,3 (aimed),
Colonise Pocket,action,grow,6,0,0,0,0,early,grow,none,fast colonise,"RADIUS around a tap (radius 90), cooldown 1. Densely branch and fully colonise all occupied substrate within the radius in one action — maximises passive income from a pile fast.",Saturating a food pocket with mat until every cell is worked.,,grow-engine,radius,90,,
Ambrosia Garden,engine,energy-engine,9,0,0,0,0,mid,energy,none,+2 energy/round (peacetime),"INSTALL. +2 Energy per round, but only while NO threat is currently touching your network; +0 while under attack. A fair-weather engine that pays in calm stretches.",Beetles farming their fungal gardens — productive only in peace.,"ENERGY engine: 2/round, conditional, counts to <11 ceiling.",energy-engine,,,,
Dead-Man's-Fingers Reach,event,phosphorus,8,0,0,2,0,mid,route,none,deep aimed growth,"DIRECTIONAL, one-shot. Gated by Phosphorus. Grow 4 aimed segments straight down in a chosen direction through deep soil, then branch — the structural deep-dive to slip under a column belt.","Xylaria's black digits, reaching into wood no other fungus bothers with.",,phosphorus,directional,,4 (deep aimed),
Immune Priming,engine,general-defense,11,0,0,0,0,mid,defense,all,standing damage cap,"INSTALL. Each round, reduce the reach of the NEXT threat contact (rot rings claimed, worms fed, ants harvested) by a flat amount. A standing damage-cap on whatever hits first.",The colony that has been bitten once and remembers.,Unconditional across all three threats; defense engine (exempt).,general-defense,,,,
Guttation Cleanse,basic,worm-defense,0,0,0,0,0,flex,defense,all,stick + light cleanse,RADIUS around a tap (radius 70). Rinse a small radius: stick worms AND wash off light mould infection at once. A dual free-floor cleanse for a messy frontier.,A flush of clean droplets carrying the grime away.,,general-defense,radius,70,,
Sunlit Antennae,event,finisher,8,0,0,0,0,late,finisher,none,reveal goal + growth,"GLOBAL, one-shot. Late-game only. Permanently reveal the goal zone and its shaded columns, and grow 3 segments toward it. The scout that opens the endgame. Unplayable until you are within a few pushes of the goal.","The first hyphae to taste warm soil, and call the rest.",,finisher,global,,3 (to goal),
Overwinter Sclerotium,extender,draw,10,0,0,0,0,mid,draw,none,+4 defensive basics,"INSTALL. Shuffle 4 assorted defensive basics (1 each: Melanize, Sticky Secretion, Scout Repel, Guttation Cleanse) into your draw deck. Runway for a defensive, attrition build.","A survival mass packed with every trick, waiting out the siege.",,extender,,,,
Wick Grow,basic,growth-trick,0,0,0,0,0,flex,route,none,growth + lure,"DIRECTIONAL. Grow 2 segments toward the nearest food source lying in a chosen direction, even if out of sensing range, AND drop a tiny lure where they land. Free directed seek.","A single questing cord, wicking toward the scent it chose.",,grow-basic,directional,,2 (directed seek),
Calcite Surge,event,phosphorus,7,0,0,3,0,flex,growth,none,growth spike,"GLOBAL, one-shot. Gated by Phosphorus. Every tip grows 2 segments toward sensed food and stiffens into structural cord — the P counterpart to the W and N growth spikes, better at holding won ground.",Mineral scaffolding thrown up across the whole advancing sheet.,,phosphorus,global,,2 (all tips),
Mycoparasite Turn,event,mould-defense,7,0,0,0,0,flex,energy,mould,cloud kill -> energy,"RADIUS around a tap (radius 120), one-shot. Turn the tables: consume every Trichoderma cloud in the radius and gain +4 Energy per cloud devoured (flat). The mould->resource converter. Unplayable if no cloud in radius.",The parasite parasitised — the colony eats the mould that came to eat it.,,mould-defense,radius,120,,
Stinkhorn Decoy,event,ant-defense,7,0,0,0,0,flex,defense,ant,ant misdirect,"DIRECTIONAL, one-shot. Grow a reeking false food body in a chosen direction that ant foragers swarm to and waste 3 rounds harvesting, pulling every trail off your real piles.","Phallus impudicus, stinking of carrion, drawing the insects to nothing.",,ant-defense,directional,,,
Inkcap Deliquesce,event,energy-burst,9,0,0,0,0,flex,energy,none,max energy burst,"GLOBAL, one-shot. Fully autolyse ALL occupied substrate for +4 Energy per patch (flat) — the biggest ungated burst. Harsh downside: those patches are emptied to zero, killing their passive income entirely.","Coprinus dissolving itself to black ink overnight, spending everything.",Ungated but the harshest downside (patches zeroed). Balances vs gated bursts.,energy-burst,global,,,
Dormancy Pact,engine,energy-engine,8,0,0,0,0,flex,energy,none,cheaper skip,"INSTALL. Reduces the SKIP cost by 3 Energy while installed (a cheaper idle). Does NOT print Energy, so it never counts toward the engine ceiling — it just softens the depletion clock.",Slowing the metabolism to a crawl to wait out the lean dark.,NOT an energy engine (prints nothing); exempt from <11 ceiling. Runway/clock softener.,energy-engine,,,,
Rhizosphere Priming,basic,phosphorus,0,0,0,0,0,flex,phosphorus,none,phosphorus floor,GLOBAL. Coax the surrounding soil web for +1 Phosphorus with no rock in range — the free P floor when the crystals are far.,Exudates sweet-talking the whole rhizosphere into sharing its phosphate.,,phos-tap,global,,,
Mycena Glow,basic,utility,0,0,0,0,0,flex,route,none,reveal,GLOBAL. Bioluminesce for one action: reveal all food and rock within an expanded radius so you can plan the next route. Free scouting floor tool.,"Little green lamps of Mycena, mapping the dark by their own light.",,grow-basic,global,,,
Ganoderma Bracket,engine,general-defense,9,0,0,0,0,flex,defense,all,flat damage reduction + heal,"INSTALL. A hard perennial shelf: flat reduction to ALL threat damage each round and slow vitality regen. The cheapest always-on toughness, valuable on any map.","Reishi, the bracket that returns to the same log for a decade.",Unconditional; defense engine (exempt).,general-defense,,,,
Rhizomorph Relay,extender,draw,8,0,0,0,0,flex,draw,none,+3 basics,INSTALL. Shuffle 2 Tropic Lunge and 1 Colonise-Pocket-style Radial Flush basic into your draw deck. Balanced runway of push + fill.,Relay cords handing the advance from one bundle to the next.,,extender,,,,
